figi,cap
BBG000C2V3D6,23330847120
BBG005P7Q881,24604422333.66
BBG000F7RCJ1,8034195234.96
BBG000B9XRY4,877601288480
BBG0025Y4RY4,182615597958.6
BBG000MDCQC2,21209050736.05
BBG000B9ZXB4,102956530636.05
BBG000D9D830,103296103332.105
BBG000BB5006,99593809975.4
BBG000BB6G37,31789091432.3
BBG000BB6WG8,24070133428.48
BBG000JG0547,51104558755.53
BBG000BFNR17,13326127651.8009
BBG000BM7HL0,25054249668.39
BBG000B9X8C0,13517184596.58
BBG000BB9KF2,32626710322.0786
BBG000C23KJ3,6897737681.87
BBG000FJLFX8,57914598878.5
BBG000BBBNC6,34516222000
BBG000FH8PX5,54357381373.68
BBG000BBDZG3,53283819900
BBG000DD3510,6161594841.36
BBG000BZX1N5,4727247129.68
BBG000BBHXQ3,12491180100
BBG000BJQWD2,11336549480.76
BBG000BJ26K7,12546283940.6205
BBG000BRNLL2,20191952975.36
BBG000BBL0Y1,8093175424.6
BBG000BVMGF2,33327400000
BBG003PS7JV1,7798248612
BBG000G30YX4,27379874283.87
BBG000BBPFB9,56111123533.98
BBG000BBQCY0,11736775005.495
BBG000B9XG87,17507128278.75
BBG000C060M4,10605585201.15
BBG000BBS2Y0,132158321538.86
BBG000G3QLY3,23402527740.2
BBG000B9XYV2,58521741068.96
BBG000BVPV84,708423087314.88
BBG000BVPPM1,15342335831.9
BBG000GXZ4W7,13775400582.09
BBG000BCG930,59335276642.8799
BBG000BC15S7,35155610124.16
BBG000BC1L02,11168542073.92
BBG000BC2C10,14475819902
BBG000BC40Y8,32616061972.77
BBG000BC4JJ4,35877583582.61
BBG000B9YJ35,27074417642.32
BBG001QD41M9,24723100842
BBG000BC33T9,12300521125.5
BBG00DYNJGH9,12143808985.71
BBG000CVWGS6,54265257885.35
BBG000BLPBL5,22250097848.58
BBG009XV39D8,102139159647.12
BBG000BCQ4P6,10475861199.2496
BBG000TRJ294,14143385466
BBG000BCQZS4,83579358912.5
BBG000BJ5HK0,6493219517.76
BBG000C7LMS8,19890018387.4
BBG000BCSST7,209214191174.63
BBG000BCTLF6,331045392229.58
BBG000BCVJ77,36029735067.99
BBG000BYYLS8,43288098123.24
BBG000BCWCG1,21371990195.67
BBG000BCZYD3,59140440305.36
BBG000BD0TF8,21444716949.63
BBG000BD2NY8,26149616347.35
BBG00DYPZ4T0,6694717759.87
BBG00GBVBK51,30040872895.15
BBG000C17X76,63322827546.66
BBG000BD8PN9,56833827360
BBG000C2PW58,87122627739.567
BBG000BDDNH5,13690703183.63
BBG000DQLV23,113023686613.46
BBG000DWG505,498943782462.6
BBG000C0LW92,37096876891.755
BBG000BJ49H3,11064408070.3
BBG000BS5CM9,18085380266.34
BBG000FY4S11,203773234062.93
BBG000BDWKC5,14725762885.28
BBG000BDXGP9,14515942523.04
BBG000D898T9,21453570327.38
BBG000BF0K17,95416930757.52
BBG000BR14K5,68021135700.35
BBG000C04224,15168731581.53
BBG000QH56C1,13233720591.36
BBG000C496P7,22663140494.67
BBG000FV1Z23,43654380410.4773
BBG000BF6LY3,49714610037.7602
BBG000C13CD9,11062864800
BBG000BFC8J2,72314162953.12
BBG000BFDLV8,21432571494.12
BBG000BWJFZ4,9475606299.88
BBG006Q0HY77,22582405397.7
BBG000BFJT36,12376302935.84
BBG000BL4504,2557950681.825
BBG000BTCH57,12917294912.68
BBG000VPGNR2,96478410260.2125
BBG000BFMBQ6,46746516870
BBG000BFPK65,12434999827.25
BBG000BFQYY3,62152287683.94
BBG000BFS7D3,16902102153.85
BBG000C75N77,16845839899.12
BBG000BFT2L4,185733875601.355
BBG000BHLYP4,55883162133.12
BBG000QX74T1,8054531839.36
BBG000BGPTV6,27199404526.11
BBG000BFVXX0,12341771742.2
BBG000BDXCJ5,17348903110
BBG000FDBX90,11467646506.945
BBG000BGKTF9,47713369834.26
BBG000C3GN47,11109452104.28
BBG000BN1XR3,22231853425.43
BBG000BG3445,11356293585.78
BBG000BQQH30,65143657249.76
BBG000F6H8W8,84018517357.14
BBG000F395V1,16118336890.125
BBG000BG4202,14445669144.725
BBG000BN2DC2,81771583000
BBG000C3J3C9,218260916774.6
BBG008S3V4G5,6639005349
BBG000BGJRC8,49250474800.8
BBG000H3YXF8,17687789513.9
BBG000BGLRN3,20289683260.34
BBG000BBDV81,47586840000
BBG000FQ6PY6,13682082239.54
BBG000BGRY34,71321610637.1
BBG000K4ND22,212482961325.36
BBG000R7RDB4,21688803227.52
BBG000BGVW60,48393438628.8
BBG000R7Z112,37495257380.01
BBG000BH1NH9,53777053651.4
BBG000QBR5J5,28554449826.82
BBG000NV1KK7,26545341606.75
BBG000BN84F3,14008856648.76
BBG000DQTXY6,16995371591.88
BBG000BH3JF8,67918500000
